Review,Rating
"Superb printer. Easy to install. During this Covid 19 scenario, we were reluctant to do the installation by someone else. I was wondering whether I could do it by myself. But I did it at ease. Almost a plug and play time. Only cartridge to be inserted and inks to be filled, the rest is well taken care of by the printer itself. I tried photo printing, colour printing and b/w printing. I am really impressed. Photo printing I need to purchase glossy paper I think for better effect. The price is ...
READ MORE",5
"After 1 month usage review
I search for a good all in one printer for long time after my search i selected this product, its a perfect printer for home use we can print through wirelessly by mobile not needed any router just on the wifi of mobile its the amazing feature the ink usage is very less and the printing time is take some second more than large printers that is not a problems for home and office use so if any one want to a printer go for it and one defect is colour print is not muc...
READ MORE",3
"Great purchace
Value for money Product. Go for it. better than Epson.
Quality of printing is excellent. I have got this product at Rs.12049 on Big Billion Day Sale and I am fully satisfied with this product.",4
"Satisfied with the printer.
Color page cost I am not sure as Canon claims but I have yet to check it.
Black ink for sure works quite well. Have taken around 50 pages and still the level of ink hasn't deteriorated.

Sending it after using it for almost 4 months. The printer is really worth.
Color print quality is good though the color seems to fade away in few months (can be because i kept the photos in open stick to my refrigerator or the paper quality might not be really good.)",4
Good Printer I use just 1 Week it's good quality but Slow printing but WiFi working is smooth and Fast,4
"I have been using Epson's L555 for close to 5 years and bought this as a backup. On the plus side I would say that the colour and scan speed is slightly better in comparison to the Epson. The sturdiness, fit and finish, print speed and noise levels could do with some improvement. In all I would rate this as a good product and am happy with it.",3
"Have been using this printer for last 2 weeks and it's good so far. The setup was ok, had some hiccups in configuring Wi-Fi 2.4 GHz (no 5 GHz), but could able to manage it with the USB connection, Support for Windows & Android is good, but doesn't support Airprint. The printing speed is good, since it's Inktank the yield is also good & advantage of having 2 additional Black ink bottles. The print quality & speed of both Black & Colour printouts are good, Scanning & Copier options are also goo...
READ MORE",4
"Good product. Tried installing myself watching YouTube videos, but was getting P03 error after all installation is done. Had to call in Canon engineer to resolve. Root cause was, something got struck in printer head path.
Got to know that free installation service is provided by Canon, but not mentioned in the Flipkart description.
So, do not try to install yourself. Just call Canon customer service, register warranty and ask for installation service.

Coming to the product, looks very deli...
READ MORE",3
"Its a genuine product. Don't look much or else you will get confused. It comes with 3 big black ink bottles and 3 colour bottles. The Wifi variant of this printer comes with same specifications and costs around 3-4k more. What I think is that theres no need of paying 3-4k extra for wifi as you can print the same using otg from your mobile device. Otg costs only 199. Dont listen to the negative comments as some products may have manufacturing defects but that doesn't makes all products bad. Ca...
READ MORE",4
"Printer is Very good, Excellent Functions, Easy to use, Print quality is awesome . Scan quality is average. Ink are very costly. not described about warranty. Printing speed is good. simple installation procedure.",5
Printer is very good and printing speed is good for home use nd office use easy to install and good printing ink and I recommend to purchase online because offline shop's were not give offers,4
"Actually I love the products from canon because it has good performance , build quality , an attractive design and usually high quality out put .",4
"Good printer. Within one month I have printed about 600 pages. No issue at all. No paper pickup problem. No lagging. I neve used high print quality mode only used standard print quality mode but print quality is very nice. Earlier I had HP 319 printer but trust me this canon printer is much better than HP in terms of ease of usage, handling, paper pickup and print quality. The printer cost me 11,300/-.",5
Printer is good and performing well. The item was neatly and securely packed and the courier was speedy. Kudos to Flipkart for early delivery ( delivered to me in four to five days),5
Best Printer for home and office work.,5
"Nice printers... with 3 black & 1 set colour, Thnx flipkrt and Delivery Man (Prem Lal)",4
"Really very Good printer 👌👌👌😎😎
And printing quality of both colour and Black&White is too good ya 🥳🥳😇😇",5
Very nice and economic printer. Go for it,4
Well product is good as we all know canon printer are the best as compared to others. And if you want to buy this product it will be good but be sure that the ink used is only pG-47 and CL-57 that is specific for it.. and the cost of this ink cartridge is heigh .. it gives only 250 pages for black and white and aroun180-200 coloured. And the scanning speed is bit slow as compared to other canon printer. It is best for personal use only.,4
Good,5
I will review after a week,3
", nice 👌🙂",4
It is very good product . but very low ink cartridge,3
"Delivery is tooo late...
This the drawback..
But the product is good..
Tq Flipkart..🤩🤩",2
As usual,5
Horrible printer. Gives errors almost daily and the WiFi printing is ridiculously slow - upto 10 minutes a sheet.,1
Printed is good but the paper tray is broke and the box is very dirty I am very disappointed to your packing the printer paper tray is broken due to your bad packing.,5
"Nice printer for this price range, black and white pages are really good, colour pages are ok range, with this printer I get pg47,cl57s catriges, if you want good printer with this price range please go for it.",5
Dear sir product is good but need home delivery for any product.,4
good,5
Cartridge are costly,4
Colour quality little less,5
Best in class,5
"good at this price range
1)Black and White printing time around 20sec.
2)Colour printing time around 1 minutes.
3)Quality very good.
4)Noise medium.",5
It's very good warking nice and easy compartable,5
Good product.. value of money,5
dont buy this very bad product. such a disappointment,4
"Excellent product, It is a very usefull product for student",5
good printing quality for photos,5
Ok,4
"printer was good and on time deliver ,packing was good .",5
The product received in good condition.,5
Very good quality products delivered By Flipkart. I am very happy. Thank you Flipkart,5
good quality,5
Really good Function printer. Always Flipkart good Service. Thanks 👍 FLIPKART.,5
Excellent performance so every one must buy,5
PRINTER IS VERY GOOD BUT COURIER BOX IS DAMAGE,4
Very good product,4
"Very nice printer, is worth the purchase. Ideal for Home printing but the black cartridge prints hardly 100 Pages and same with Color cartridge.The cartridge price is costly so I suggest you to Buy GoColor Canon compatible ink's each bottle is of 100 ML and you will find that there's is difference between Original and GoColor ink's. You can refill the cartridge at home in the kit you get everything just watch a video on YouTube and you will save you 96% Printing cost. I have done the same thi...
READ MORE",5
"great !! easy to use ,, budget friendly,, good printing quality,, looks comfortable, weight also user friendly",5
"nice product
I am a student I ordered this for my work I don't have a computer or a laptop I only have Android phones so I ordered that and now I print the worksheet from this printer very nice printer",5
super Good delivery and canon printer is Good Quality.... value of money.. best product..,5
"After using 1 year I am writing

Product seems to good but it make you to spend more money to purchase New cartridges

Believe me never think to purchase it

It's very less efficient for avg class people
Cartridges cost you approximately 15-18 hundreds of rupees

Print quality is not good as laser printer

After refilling not expect to see good results

It's very very very bad product it's not allowed you to scan after ink of cartridges goes less

So my suggestion to all those people who want...
READ MORE",5
"I loved this oder . The delivery boy's behaviour was also good . Very good product, worth of money and i loved a feature that we can zerox,print and scan. In the last i want to say that very very very very good product.👍🏻👍🏻👌🏻👌🏻🥰😍😘",5
"Looks great but it was very delicate piece nd also careful with plugin points as they are sensitive, overall it is best for home printers. Doesn't have bluetooth or wifi connection only works through cable. Printed nicely and easy to print.",4
"For the price of 1999 its a good deal.
The printing is very slow.
The copy and scan function works fine (good speed).
Ink cartridge as usual are costly and one time purchase will sum up-to the printers cost.


The black ink cartridge won't even last 40 papers. Its showing low ink now. I am pretty sure color cartridge will be the same.",4
"Timely delivery. Print quality is excellent. Easy to install. Got it at the best price. As usual, happy with my shopping experience",5
"printer is very good but it's cartage is not good because it prints less than 100 copies and even after cartage is empty than new cartage cost is very high..
So I don't recommend this printer to anyone.",5
"Very nice printer, is worth the purchase. Ideal for Home printing but the black cartridge prints hardly 100 Pages and same with Color cartridge.The cartridge price is costly so I suggest you to Buy GoColor Canon compatible ink's each bottle is of 100 ML and you will find that there's is difference between Original and GoColor ink's. You can refill the cartridge at home in the kit you get everything just watch a video on YouTube and you will save you 96% Printing cost. I have done the same thi...
READ MORE",5
"great !! easy to use ,, budget friendly,, good printing quality,, looks comfortable, weight also user friendly",5
"nice product
I am a student I ordered this for my work I don't have a computer or a laptop I only have Android phones so I ordered that and now I print the worksheet from this printer very nice printer",3
super Good delivery and canon printer is Good Quality.... value of money.. best product..,5
"After using 1 year I am writing

Product seems to good but it make you to spend more money to purchase New cartridges

Believe me never think to purchase it

It's very less efficient for avg class people
Cartridges cost you approximately 15-18 hundreds of rupees

Print quality is not good as laser printer

After refilling not expect to see good results

It's very very very bad product it's not allowed you to scan after ink of cartridges goes less

So my suggestion to all those people who want...
READ MORE",5
"I loved this oder . The delivery boy's behaviour was also good . Very good product, worth of money and i loved a feature that we can zerox,print and scan. In the last i want to say that very very very very good product.👍🏻👍🏻👌🏻👌🏻🥰😍😘",4
"Looks great but it was very delicate piece nd also careful with plugin points as they are sensitive, overall it is best for home printers. Doesn't have bluetooth or wifi connection only works through cable. Printed nicely and easy to print.",5
"For the price of 1999 its a good deal.
The printing is very slow.
The copy and scan function works fine (good speed).
Ink cartridge as usual are costly and one time purchase will sum up-to the printers cost.


The black ink cartridge won't even last 40 papers. Its showing low ink now. I am pretty sure color cartridge will be the same.",4
"Timely delivery. Print quality is excellent. Easy to install. Got it at the best price. As usual, happy with my shopping experience",4
"printer is very good but it's cartage is not good because it prints less than 100 copies and even after cartage is empty than new cartage cost is very high..
So I don't recommend this printer to anyone.",3
"Best printer in this price and people who wants to print with this printer with your android can print... Just follow these steps:
1. Download canon print service
2. Then, download nokoprint app.
3. Now, open the nokoprint app and then select usb otg connected printer(for this your phone must have support of usb otg).
4. Now, connect printer and use generic option.
5. Now enjoy your printing.......",5
"I have printed more than 500 + copies . work very fast and aqurat .

I have seen such a good quality and cheep price with Brand .",5
"Great value for money. Works good enough. Setting up is a lengthy process but once set up, works flawlessly.",4
"Good printer at affordable rate. Good quality printing. Sometime I faced issue at connecting with my phone but overall a very good product a student should own. It would have been nice if ports for pen drive are available/usb port to directly connect mobile instead of using OTG cable . But considering quality, performance of machine it's a good product. Printing per page price I feel could have less for a student like me who takes many print at a time. This printer is perfect for home use...
READ MORE",4
Bed,1
"Never buy product on Flipkart,Worst printer ,No return policy 😡",1
High quality printing,5
nice product,5
Best budget printer,5
"Brand new piece, came with all accessories and factory seals intact. Works perfectly. Thank you!",5
"It has all the facilities to eliminate too many wires & good wireless wifi connection, scanning & printing.
Very good printer worth every pie invested on it. Had discount offer quick free delivery 3 days shorter than Amazon.",4
"Honest review:-
- Unable to setup with Windows 7, so little disappointed but easy to connect with Android.
- Printing quality very good.
- No proper user manual given.

Edit after 6 months-
- Having probelem in connecting it to mobile.
- Can't print anything. Only Xerox is working properly.
- Would not recommend hp. Go for other brand.",4
"Excellent Product
..",3
Thanks,5
"Useless product. Cartrage finishes very fast. After taking 3 color printouts , the color cartrage was reduced to half. These color pages had most of the text in black and white, except few small color icons. Black cartrage was also reduced to 70% after printing just 5 black and white pages..It will take maximum 15 more black and white pages..

I purchased this printer because my kid needs school worksheet printouts.. Purchasing this printer is not expensive but maintance is such a pain...",1
Ink drains in the first 50 pages.dont buy this and cartridge is too expensive. If you refill it drains within 18 pages. Very Bad experience.,2
Quickly completing ink cartridges and giving very small amount of xerox copies! Wastage of money,3
Excellent product extraordinary customer service. Most satisfied customer.,5
AMAZING PRINTING 👍👍,4
"It's nice for those who have a less usage
(You have to buy a cartridge of rupee 700-1200 after every 100-150 pages)
Those who have high usage go for inktank
(It print's 7000-10000 pages in a 500 rupee bottle)",4
"Great printer from HP. Excellent quality low cost printing. A Must buy product. Efficient usage of ink too.
I have printed 40+ photo prints on photo paper and 100+ a4 paper prints still only 2-3% of ink is utilised.",4
"Not value for money if you consider photo printing specially. Document print is superb. Photos are not that great like other popular photo printers in same range. But keep in mind those good photo printers from other brands are 3 to 5k high than this one and also their print head and tricolour cartridges are very high price compare to HP 315. Overall as much you invest as good photos you get. If photo print is your only priority and you cant compromise quality then this is not for you. If doc...
READ MORE",3
it's very nice products,5
SUPER PRINTER,5
Thank flipkart Good products full ⭐⭐⭐⭐⭐⭐,5
Print quality is best comparing to others,5
very happy with the product at this price. Thanks to Flipkart,4
It's printing to low quality and speed also to slow,2
Good but speed not up to the mark,4
ok working well,5
"A very good printer for moderate business or personal use. Even it is the cheapest & very nice printer if you are looking for a Printer+Copier+Scanner+Laser technology+HP.
But the finishing of the product is terrible. The front & top faces are fine but the back & inner portions are terribly casted. Also the scanner tray is not so rigid.
So I would suggest to spend few more bucks & go for HP M1005.

Toners used:
HP M 1136-88A.
HP M 1005-12A.

The printing capacity of 1005 is around 25% more th...
READ MORE",5
"Easy to install, quick print, nice scanner. Good for small business and offices. Requires less space. xerox kind function is also good. Must buy if you are looking for low budget high performing printer.
Only drawback is it can't print both side automatically, but at such good price it can be ignored.",5
This is a very good MFP by hp as I have used other brands like canon and samsung but this is the best printer in its category so go for it. And great job by flipkart to deliver in just 20 hours of placing order.,5
"Really excellent Purchase
working very good and delivery was fast
Fully satisfied with HP Printer and Flipkart.",4
"Pros: Nice printer, does its job as advertised. Easy to handle, set up is also easy and hassle free. I was looking for a home printer and dwelling over an ink jet and laser jet. I found this one perfect for me as I don’t need to print many color pages. HP print software is always nice. The scanner is good and the copier function is very useful, as you don’t need to hook up your laptop or PC every time to make a copy.
Cons: The paper input tray always project out and is not foldable or retract...
READ MORE",5
"This printer is extremely good ! Gives nice crisp Professional Prints , Scanner is Fast Enough , and its a pretty good printer ! the downside is the software bundled with it ! Has not many features . So download from the HP original website . Overall very good Product ! Totally worth the money . Flipkart delivered one day late as promised, But thats okay cause i was not in a hurry to get it !!!",5
"Great deal in big billion sale. Easy to assemble, good performance, took a little bit more time to deliver but that was expected bcoz of the ongoing ""Big Billion Sale""",5
nice printer ... easy access and can be used for heavy duty printing ... scanning functionality is also available and good ... a good buy for someone who has printing needs,4
"Writing this review after a month's usage.
It's nice, the best thing about this is that you can easily make a xerox copy without the intervention of a PC.
Very fast in printing.
But The HP UI is not user friendly.
Canon gives mp navigator which helps us to do alot of things easily but here even though the scanner n printer are better but the UI lacks proper design.
Many third party drivers are available to overcome this problem but are paid version.
A normal user cannot use this printer at it...
READ MORE",3
"Everything worked well with this printer until I scanned my first document on it.
Very Poor Software offered by HP. Every document scans Twice for the reason unknown to me. Canon E500 that I used earlier had a lot better scanner than this one.

As far as the Printer is concerned, hats off. It works great! Speed is awesome. Copying speed is great.

Sans the scanner, everything is perfect.",3
"I bought this printer on 29-09-2019, I installed the printer of myself - ink filling was easy as the ink bottles are spill protected, but I took 10 minutes to connect it wirelessly with my I pad ..any way after got connected it was effortless to print from my I pad. ink consumption found to be very less . Connected with my windows pc and I printed my daughter's class 11'th std readers (4 nos each 320-360 pages- total of 1300 pages) using the odd and even nos. programmed cycle to print on both...
READ MORE",3
Nice product but delivery of the product not on scheduled time without genuine reason. After taking continuos follow up from flipkart then product arrived. Highly unsattisfied with delivery of product.But fully satisfied with printer after using it.,3
"< Excellent >
Just go for it if you need a printer for home use and small shops.
•Little bit noise but we can't say noisy.
•Excellent product from HP.
•Manual Duplex printing is available and is also easy.
•Its scanning quality is better than other brand printers.
•Printing is very neat and clean & each and every single word is clearly visible.
•The ink bottles are spill-proof so you can fill ink without any worry.
•Installation is very easy and I have installed this printer by myself.
•...
READ MORE",3
"A superb printer. I am writing this review after a week. Print quality is very good. Easy to use, direct WiFi system is very fast. Just install two app from Play store or app market on a mobile, connect through WiFi hp419 and enjoy printing experience of photos, documents direct from mobile.
I am fully satisfied about Flipkart s polite delivery service.",5
"In terms of printing it's a very effective machine , it's provide very good quality prints and scanned documents, but it's not provide good quality photos print. The photo print on glossy paper as compared to the other brand has not been effective , quality is average of colour photos.",5
"Positives : great product and installation happened in a day.

Areas to improve : took 10 days to deliver- it was a long wait",5
So nice product. Print from Mobile. Colour printing is 8 paise per paper. Means in 1 rupees there will be print more than 10 paper. Very nice printer works on Google home,4
"Superb product I like it
Best part is photo print and installation.
We can use it for Black and white xerox or print also.
But we have to keep practice for best quality print.",5
"This printer is the best Great quality is also Shayari is small, I have no problem keeping it",4
"excellent printer, very easy setup and print quality is very good

and, do I have to say again and again about Flipkart service, it's class apart as always",5
"Wonderful . Easy set up & wireless connectivity .
Looks beautiful. I like the design .
But one thing I would like to mention - Little slow while printing .",5
"Printer is very good working fine with smartphone but I have some connectivity issue with my laptop windows laptop,",5
Print quality is good....speed is slow...I am also using brother 510 in my office which is much much better ...,3
Printing quality is very poor. I have purchased it for home use to make albums... but totally disappointed by the quality of color photo... very poor....,1
Amazing quality .Go for it without a second thought.,4
Easy and Simple,3
Okk,2
"Don't buy.
A horror to set up, takes ages. Printing is very SLOW & NOT up to the mark.
The wired usb connection should have been 'plug and play' but also needs full set up.
Expected better from HP.",1
printer is quite slow...but print quality is good enough,2
Simply awesome,5
Awesome product fast printing and scanning is also good and it is easy to setup but it is not wireless otherwise awesome,4
Ink cartridge provided with it could not print even 60 black prints had to buy a refill ink .So if you have thought to buy remember to include the cost of the ink as well as the ink won't last long well the print quality is appreciable and good enough for home use .,2
Excellent .. printer Hp desk jet 2331 . And you can must buy it 😉.. i am really happy to my new printer..i think best low range best printer Hp .. Thanks and Thanks for Flipkart customer support ..,5
This product is good but the paper cost very high.. House Work is good but Business Work is Not Good..,3
"Pathetic product, worst ever printing and scanning quality. Do not recommend this product to anyone, my 10 year old printer still works better with better quality output. Spend some extra money to get a better product else your money is wasted.",1
"Extremely Good Product.The best print quality one can get. If you are on the track of purchasing it ,go ahead I can guarantee that you won't regret. A priceworthy and one of the best product by HP team to us .Thank You!!",5
"Very Bad Quality printer, Dont ever buy.Cartiage will get drained if you dont use the printer for 1week.Poor Scanner also very slow.",1
Not recommend,1
Wast product don't buy,1
Very very bad👎👎👎👎,1
"I have been using this printer for the last 13 years and still going on without any issues. It has already covered 50k pages and the only thing what I have to do is to refill and go. I have recommended this printer to all my friends and many of them are using this unit. The cartridge gives about 1500 plus pages and there is no chips to count the number of pages printed. Hence the is no need to reset the printer as other newer versions. The compatible cartridges are available as low as 300 buc...
READ MORE",5
the best printer in laser printer and the best build quality and original and full clear printing this is work a long time period for home and office use and not any issues in regular usage thank you flipcart to provide me genuine product and comfortable price,4
"The best single function printer it is similar to hp 1020 plus. Best use for project work for students, offices and shops.
No colour,
No scanner
No WiFi
No network connection only USB
Single colour black
No more function for no more complications",5
"Very good print quality and shall texts. It has plastic build, but so does every other printer out there!! I am satisfied with its work and overall build and speed. For small printing work it is one to go with.",5
An excellent printer . Thanks for flip kart. Coming to price is little high. The printing quality is good. Less maintenance.,5
"good printer and print qulty and fast print low print page
one toner 2500 print 100% testing good is life printer",5
Works very well,4
Received printer in good condition,5
Supar dupar filings you,5
Not working dameg iteam poor quality time west,1
"Very nice.
Comfortable for home Use.",5
Good Fast printer,5
Very good product,5
Very nice,5
"Bad product , function in not good , slowly working.",1
Good,5
Product is good.....but.....delivery boy not wait atleast ....10 also .... im very much disappointed,3
good product,4
Ink cartridge is not full and new Cartridge pg47 & pg57 is not sapoted not by this prodect,2
Not working perfectly. AT photo glossy paper not support with this model.,2
"Other than its size this is a great deal. As it bit bulky than hp 1020 or other series. But when you will see you are paying around 4000 less than hp 1020 printer or less than any other series of hp printer, you will love it. Till date it functions smoothly, great print quality and quite fast. But before you purchase think about its placement. See dimension in product description. I am giving you my idea of placement. See image. This will give you a practical idea of its dimension .",3
"Shipment received yesterday,. Nice and safe packing, did initial setup printing fine, both side print also working perfectly, it's fast printing at very low noise.

Yet to check how many pages it will print with one tonner.",5
"Very Good product
This is the most affordable leaserjet printer.... I have been using this printer for one year. Very much convenient to use and refill.... I am strongly recommending this product to the people who are looking for a leaserjet printer at affordable price.....
Thanks to Flipkart for suggesting me this printer",5
"Best printer
Very Fast printing
This printer can beat hp,canon,Epson and other printers
Very good printer
I recommend others to buy this printer only
This printer also has 2 paper stoppers
Very very good printer",5
"Good printer but not directly otg support for Android mobile, but Google cloud print service working is printer by mobile print. So i am happy",5
"I trust Brother over HP, Canon and others when it comes to laser jet printer. Been using Brother since a decade now. Upgraded to this latest one recently. I use it at home and it's worth every penny spent.",4
"Writing this review after more than one month use and around 700 pages both side printing .After lot of research i hv selected this one for my son study matarial printing . And i am satisfied with my choice . Very good Printer with both side auotomated Printing feature at this Price . It saves paper a lot and trully very fast printing .It is economical as cost per page , good for go green and good for environment as saves paper/trees.
Real value for money printer at this price and the featu...
READ MORE",4
"Superb Printer at reliable price. I Got it only @7499 on great indian sale.
Duplex Printing work properly and many options in this printer like booklet , multiple options.
Also print A3 size paper.",5
"Good results , best printer. After using 1 year I m giving this review. Best quality print. One of good option is it prints back to back . Price is also reasonable . I tookit in big billion days sale.",4
"Nice Product , very easy to installation on pc. Print found very sharp. Print speed much better than other printer. A4 size tray available , but legel size paper separate found and manually feed outside. Less cost n better performance..",5
"It works fine

Pros. :-

Budget printer (9850/-)
Id copy available
Manual duplex available
1 sheet external tray
Print quality nice
Color print speed - 7-8ppm
Sca option works gr8
Paper tray can have 150 sheet at a time

Cons :-

# The original ink of brother is very hard to find (especially in india )- other inks may damage the toner , so stay aware
# No wifi ( if u need go for upper model with 2k more bucks )
# it catches dust very soon .. I'd recommend to buy a cover

That's it .. it do m...
READ MORE",4
"best printer

don't trust negative comments printer is awesome like Epson l 805 photo printing
photo printing is much more better than other printers in this price
you get in Epson l805 and brother DCP t220 same quality photo printing",5
Very nice,5
Very good product. Print quality is superb....,4
Product is good but flipcard packing very bad in rain,3
Good Product..,5
Very bad product don't by anyone,1
Best printer for home and office usage👌.The print quality was amazing and easy to install also.,5
"Print quality very low , scanner not work properly",1
Not working,1
"Its very nice product. No need to think twice, just take it if fitting in your budget. Print speed is good, print quality is very nice (black, color, glossy photos etc) and also cost effective printing.
I will recommend to take this printer.",4
"Installation & Setup was easy & fast. Just connect through HP Smart App and Wireless printing is so simple. Air print works good but while accessing from Mobile, Printer settings/preferences are limited to few options.

Touch screen response is fine & the video snippets are quite helpful for installation. Also it is easier to use the printer options through touch screen rather than single line monochrome display in other models like 515/516. The additional cost for 530 printer is worth it fo...
READ MORE",5
"BEST PRINTER FOR COLOUR AND BLACK IN WHITE PAGE PRINT AND BEST PRINTER FOR PHOTOCOPY VERY NICE CLEARITY AND SCANNING SYSTEM IS ALSO GOOD YOU CAN EASILY SCAN AND YOU CAN CONNECT THIS WIRELESS FROM YOUR PHONE SEND AN EMAIL TO HP PRINTER DEFAULT EMAIL AND MAKE A DEMAND WHICH PHOTO OR ANYTHING WANT TO COPY AND PRINTING IS AUTOMATICALLY DONE YOUR PRINT THIS IS TOTALLY WIRELESS THIS PRINTER COMES WITH 2.2 INCH SCREEN FULL SMOOTH TOUCH CONTROLS AND YOU CAN CONNECT WIFI AND USB AND ETHERNET ALSO MIND...
READ MORE",5
"Printer :-
Printer was good & mainly i bought this for ADF and works good . Previously using EPSON so it taking few minutes to understand the printing option interface.

Delivery :-
Delivery was on time and as expected.

Package :-
The only thing need to bother is packaging. Its terrific . First i thought the printer might be damaged. But the delivery agent helped me to unpack & verify the product.

Nothing got damaged expect the thermacoal",4
"Nice product. No need to think twice, just Go for it Print speed is good, print quality is very nice (black, color, glossy photos etc) and also cost effective printing.
Printer is Quite silent, good looking.",5
"Very bad quality of black ink
It rub when we print the photo on photo paper",1
"Best Smart Printer .
I also like this That's Very Good 🙂🙂😎",5
"Very very nice,amazing, awesome and much more than other tank.I donot have words to say.Thankyou filipkart.",4
Very good with touch screen,4
Thankyou for faster delivery,5
"Ordered 09-01-15, delivered 13-01-15

Packing - flipkart 5/10 , canon 9/10

software provided - 10/10 (you can download drivers from canon website also)

print quality - 10/10.

print speed - duplex( apxx 2ppm, i.e 4 pages back to back), simplex(draft mode apxx 20ppm !!)

Scanning - a bit slow but good, also there is no scanning button on the printer itself.

Photocopy - nice

Wifi setup may be a problem but you can watch videos on youtube about e560, e460 or other canon wifi supported...
READ MORE",3
"Got delivered in a week.
The packing was terrible, there was no any cover of Flipkart or and bubble rap to protect it..
I was lucky that it arrived safely..

The product is Fantastic and it's very easy to install.
But it takes too much time to get ready for printing...
You may also get a surprise gift with the package",5
"Awesome machine is that
but some times it takes time to print but it's ok
otherwise quality was too good and model was awesome design all things
thank you flipkart to delivered my product safely
thank you flipkart
😍😘😘👌👌🙏🙏
and thank for giving wireless mouse
thank you",4
"Was searching for a good printer. After researching brought Canon E 560 Multi Function Printer. Has Wifi Connectivity, Duplex Printing, Borderless Printing. Package was delivered in good condition. Setting up a wifi connection was a bit tricky. Scanning and Printing is excellent. Printed on plain paper as well as photo paper. Many reviews pointed out additional black cartridge being present. However, I did not find the additional black cartridge in the box. Would definitely recommen...
READ MORE",5
"It is a very good printer. I have used it for a month and so far it is working very smoothly and nicely. I'm using it via usb and don't use it wirelessly yet. All it's function, print/scan/copy is working properly. But the only thingh that I dont like is its color printing cartiredge, which can print approx 120-140 fulled colored pages but it can print 220-250 fulled black and white colored pages. And other dispointing point is its non waterproof ink which gets washed away when come in contac...
READ MORE",5
"Received the printer today. Below is my review on day 1 usage:_

1. Delivery : 5/5. Well done flipkart for quick delivery
2. Setup/Installation:- 3/5 . I had to shell out 2 hours to setup the printer. Though post setup everything works fine.
3.Print Quality: 3/5. I printed a color photo, it was average.

Seems like an okay printer for home users like me.

I will update the review after few days of usage.",4
"1. The black & white print quality is comparably lower than Laser printer. May not fit in an office setup.
2. Color printing is impressive.
3. Scan is good and could've been better.
4. Photocopying is not upto the mark. Just does the timely job.
5. Wireless printing is a good option. Not yet tried though. Little complex set-up.
6. Plastic quality is cheap... cheap...
7. Quiet and less power consumption.
8. Compact in size and lesser chances of getting dusty... almost all the parts are closabl...
READ MORE",2
"Just ordered the printer from Flipkart a few days back... got it the next day... and since then it has been an absolutely wonderful experience using it! The printer looks good, and works even better! It's easy to set up (it may seem like a tough task initially but once you begin it is easy... and please go through the quick setup manual carefully, everything's given on that) and you can get started with the printing in just a few minutes!
After the setup, load the CANON software CD in your dr...
READ MORE",5
